Timestamp (ms),Latitude (deg),Longitude (deg),Altitude (m)
0,45.0,-73.999872959,1
10,45.0000000941,-73.9998729591,1
20,45.0000001881,-73.9998729593,1
30,45.0000002822,-73.9998729597,1
40,45.0000003763,-73.9998729601,1
50,45.0000004704,-73.9998729608,1
60,45.0000005644,-73.9998729615,1
70,45.0000006585,-73.9998729624,1
80,45.0000007526,-73.9998729635,1
90,45.0000008466,-73.9998729647,1
100,45.0000009407,-73.999872966,1
110,45.0000010348,-73.9998729675,1
120,45.0000011288,-73.9998729691,1
130,45.0000012229,-73.9998729708,1
140,45.000001317,-73.9998729727,1
150,45.000001411,-73.9998729747,1
160,45.0000015051,-73.9998729769,1
170,45.0000015991,-73.9998729792,1
180,45.0000016932,-73.9998729816,1
190,45.0000017872,-73.9998729842,1
200,45.0000018813,-73.9998729869,1
210,45.0000019753,-73.9998729898,1
220,45.0000020694,-73.9998729927,1
230,45.0000021634,-73.9998729959,1
240,45.0000022575,-73.9998729992,1
250,45.0000023515,-73.9998730026,1
260,45.0000024456,-73.9998730061,1
270,45.0000025396,-73.9998730098,1
280,45.0000026336,-73.9998730136,1
290,45.0000027277,-73.9998730176,1
300,45.0000028217,-73.9998730217,1
310,45.0000029157,-73.999873026,1
320,45.0000030097,-73.9998730304,1
330,45.0000031037,-73.9998730349,1
340,45.0000031978,-73.9998730396,1
350,45.0000032918,-73.9998730444,1
360,45.0000033858,-73.9998730493,1
370,45.0000034798,-73.9998730544,1
380,45.0000035738,-73.9998730596,1
390,45.0000036678,-73.999873065,1
400,45.0000037618,-73.9998730705,1
410,45.0000038557,-73.9998730761,1
420,45.0000039497,-73.9998730819,1
430,45.0000040437,-73.9998730878,1
440,45.0000041377,-73.9998730939,1
450,45.0000042316,-73.9998731001,1
460,45.0000043256,-73.9998731064,1
470,45.0000044196,-73.9998731129,1
480,45.0000045135,-73.9998731195,1
490,45.0000046075,-73.9998731262,1
500,45.0000047014,-73.9998731331,1
510,45.0000047954,-73.9998731402,1
520,45.0000048893,-73.9998731473,1
530,45.0000049832,-73.9998731547,1
540,45.0000050771,-73.9998731621,1
550,45.0000051711,-73.9998731697,1
560,45.000005265,-73.9998731774,1
570,45.0000053589,-73.9998731853,1
580,45.0000054528,-73.9998731933,1
590,45.0000055467,-73.9998732014,1
600,45.0000056406,-73.9998732097,1
610,45.0000057345,-73.9998732181,1
620,45.0000058283,-73.9998732267,1
630,45.0000059222,-73.9998732354,1
640,45.0000060161,-73.9998732442,1
650,45.0000061099,-73.9998732532,1
660,45.0000062038,-73.9998732623,1
670,45.0000062976,-73.9998732716,1
680,45.0000063914,-73.999873281,1
690,45.0000064853,-73.9998732905,1
700,45.0000065791,-73.9998733002,1
710,45.0000066729,-73.99987331,1
720,45.0000067667,-73.99987332,1
730,45.0000068605,-73.9998733301,1
740,45.0000069543,-73.9998733403,1
750,45.0000070481,-73.9998733507,1
760,45.0000071419,-73.9998733612,1
770,45.0000072356,-73.9998733718,1
780,45.0000073294,-73.9998733826,1
790,45.0000074232,-73.9998733935,1
800,45.0000075169,-73.9998734046,1
810,45.0000076106,-73.9998734158,1
820,45.0000077044,-73.9998734271,1
830,45.0000077981,-73.9998734386,1
840,45.0000078918,-73.9998734502,1
850,45.0000079855,-73.999873462,1
860,45.0000080792,-73.9998734739,1
870,45.0000081729,-73.9998734859,1
880,45.0000082666,-73.9998734981,1
890,45.0000083602,-73.9998735104,1
900,45.0000084539,-73.9998735228,1
910,45.0000085475,-73.9998735354,1
920,45.0000086412,-73.9998735482,1
930,45.0000087348,-73.999873561,1
940,45.0000088284,-73.999873574,1
950,45.000008922,-73.9998735872,1
960,45.0000090156,-73.9998736005,1
970,45.0000091092,-73.9998736139,1
980,45.0000092028,-73.9998736274,1
990,45.0000092964,-73.9998736411,1
1000,45.00000939,-73.999873655,1
1010,45.0000094835,-73.999873669,1
1020,45.000009577,-73.9998736831,1
1030,45.0000096706,-73.9998736973,1
1040,45.0000097641,-73.9998737117,1
1050,45.0000098576,-73.9998737262,1
1060,45.0000099511,-73.9998737409,1
1070,45.0000100446,-73.9998737557,1
1080,45.0000101381,-73.9998737707,1
1090,45.0000102315,-73.9998737857,1
1100,45.000010325,-73.999873801,1
1110,45.0000104184,-73.9998738163,1
1120,45.0000105119,-73.9998738318,1
1130,45.0000106053,-73.9998738475,1
1140,45.0000106987,-73.9998738632,1
1150,45.0000107921,-73.9998738791,1
1160,45.0000108855,-73.9998738952,1
1170,45.0000109788,-73.9998739114,1
1180,45.0000110722,-73.9998739277,1
1190,45.0000111655,-73.9998739442,1
1200,45.0000112589,-73.9998739608,1
1210,45.0000113522,-73.9998739775,1
1220,45.0000114455,-73.9998739944,1
1230,45.0000115388,-73.9998740114,1
1240,45.0000116321,-73.9998740286,1
1250,45.0000117254,-73.9998740459,1
1260,45.0000118186,-73.9998740633,1
1270,45.0000119119,-73.9998740809,1
1280,45.0000120051,-73.9998740986,1
1290,45.0000120983,-73.9998741165,1
1300,45.0000121915,-73.9998741344,1
1310,45.0000122847,-73.9998741526,1
1320,45.0000123779,-73.9998741708,1
1330,45.0000124711,-73.9998741892,1
1340,45.0000125642,-73.9998742078,1
1350,45.0000126574,-73.9998742264,1
1360,45.0000127505,-73.9998742453,1
1370,45.0000128436,-73.9998742642,1
1380,45.0000129367,-73.9998742833,1
1390,45.0000130298,-73.9998743025,1
1400,45.0000131229,-73.9998743219,1
1410,45.0000132159,-73.9998743414,1
1420,45.000013309,-73.999874361,1
1430,45.000013402,-73.9998743808,1
1440,45.000013495,-73.9998744007,1
1450,45.000013588,-73.9998744208,1
1460,45.000013681,-73.999874441,1
1470,45.0000137739,-73.9998744613,1
1480,45.0000138669,-73.9998744818,1
1490,45.0000139598,-73.9998745024,1
1500,45.0000140527,-73.9998745231,1
1510,45.0000141457,-73.999874544,1
1520,45.0000142385,-73.999874565,1
1530,45.0000143314,-73.9998745862,1
1540,45.0000144243,-73.9998746075,1
1550,45.0000145171,-73.9998746289,1
1560,45.0000146099,-73.9998746505,1
1570,45.0000147028,-73.9998746722,1
1580,45.0000147956,-73.999874694,1
1590,45.0000148883,-73.999874716,1
1600,45.0000149811,-73.9998747381,1
1610,45.0000150738,-73.9998747604,1
1620,45.0000151666,-73.9998747828,1
1630,45.0000152593,-73.9998748053,1
1640,45.000015352,-73.999874828,1
1650,45.0000154447,-73.9998748508,1
1660,45.0000155373,-73.9998748737,1
1670,45.00001563,-73.9998748968,1
1680,45.0000157226,-73.99987492,1
1690,45.0000158152,-73.9998749433,1
1700,45.0000159078,-73.9998749668,1
1710,45.0000160004,-73.9998749905,1
1720,45.0000160929,-73.9998750142,1
1730,45.0000161855,-73.9998750381,1
1740,45.000016278,-73.9998750622,1
1750,45.0000163705,-73.9998750863,1
1760,45.000016463,-73.9998751107,1
1770,45.0000165555,-73.9998751351,1
1780,45.0000166479,-73.9998751597,1
1790,45.0000167403,-73.9998751844,1
1800,45.0000168327,-73.9998752093,1
1810,45.0000169251,-73.9998752343,1
1820,45.0000170175,-73.9998752594,1
1830,45.0000171099,-73.9998752847,1
1840,45.0000172022,-73.9998753101,1
1850,45.0000172945,-73.9998753356,1
1860,45.0000173868,-73.9998753613,1
1870,45.0000174791,-73.9998753871,1
1880,45.0000175714,-73.9998754131,1
1890,45.0000176636,-73.9998754392,1
1900,45.0000177559,-73.9998754654,1
1910,45.0000178481,-73.9998754918,1
1920,45.0000179403,-73.9998755183,1
1930,45.0000180324,-73.9998755449,1
1940,45.0000181246,-73.9998755717,1
1950,45.0000182167,-73.9998755986,1
1960,45.0000183088,-73.9998756256,1
1970,45.0000184009,-73.9998756528,1
1980,45.000018493,-73.9998756801,1
1990,45.000018585,-73.9998757076,1
2000,45.000018677,-73.9998757352,1
2010,45.000018769,-73.9998757629,1
2020,45.000018861,-73.9998757908,1
2030,45.000018953,-73.9998758188,1
2040,45.0000190449,-73.9998758469,1
2050,45.0000191368,-73.9998758752,1
2060,45.0000192287,-73.9998759036,1
2070,45.0000193206,-73.9998759321,1
2080,45.0000194125,-73.9998759608,1
2090,45.0000195043,-73.9998759896,1
2100,45.0000195961,-73.9998760186,1
2110,45.0000196879,-73.9998760477,1
2120,45.0000197797,-73.9998760769,1
2130,45.0000198715,-73.9998761063,1
2140,45.0000199632,-73.9998761358,1
2150,45.0000200549,-73.9998761654,1
2160,45.0000201466,-73.9998761952,1
2170,45.0000202382,-73.9998762251,1
2180,45.0000203299,-73.9998762551,1
2190,45.0000204215,-73.9998762853,1
2200,45.0000205131,-73.9998763156,1
2210,45.0000206047,-73.999876346,1
2220,45.0000206962,-73.9998763766,1
2230,45.0000207878,-73.9998764073,1
2240,45.0000208793,-73.9998764382,1
2250,45.0000209708,-73.9998764692,1
2260,45.0000210622,-73.9998765003,1
2270,45.0000211537,-73.9998765316,1
2280,45.0000212451,-73.999876563,1
2290,45.0000213365,-73.9998765945,1
2300,45.0000214278,-73.9998766262,1
2310,45.0000215192,-73.999876658,1
2320,45.0000216105,-73.9998766899,1
2330,45.0000217018,-73.999876722,1
2340,45.0000217931,-73.9998767542,1
2350,45.0000218843,-73.9998767865,1
2360,45.0000219755,-73.999876819,1
2370,45.0000220667,-73.9998768516,1
2380,45.0000221579,-73.9998768844,1
2390,45.0000222491,-73.9998769172,1
2400,45.0000223402,-73.9998769503,1
2410,45.0000224313,-73.9998769834,1
2420,45.0000225224,-73.9998770167,1
2430,45.0000226134,-73.9998770501,1
2440,45.0000227045,-73.9998770837,1
2450,45.0000227955,-73.9998771174,1
2460,45.0000228864,-73.9998771512,1
2470,45.0000229774,-73.9998771852,1
2480,45.0000230683,-73.9998772193,1
2490,45.0000231592,-73.9998772535,1
2500,45.0000232501,-73.9998772879,1
2510,45.000023341,-73.9998773223,1
2520,45.0000234318,-73.999877357,1
2530,45.0000235226,-73.9998773918,1
2540,45.0000236134,-73.9998774267,1
2550,45.0000237041,-73.9998774617,1
2560,45.0000237948,-73.9998774969,1
2570,45.0000238855,-73.9998775322,1
2580,45.0000239762,-73.9998775676,1
2590,45.0000240669,-73.9998776032,1
2600,45.0000241575,-73.9998776389,1
2610,45.0000242481,-73.9998776747,1
2620,45.0000243386,-73.9998777107,1
2630,45.0000244292,-73.9998777468,1
2640,45.0000245197,-73.9998777831,1
2650,45.0000246102,-73.9998778195,1
2660,45.0000247006,-73.999877856,1
2670,45.0000247911,-73.9998778926,1
2680,45.0000248815,-73.9998779294,1
2690,45.0000249718,-73.9998779663,1
2700,45.0000250622,-73.9998780034,1
2710,45.0000251525,-73.9998780405,1
2720,45.0000252428,-73.9998780779,1
2730,45.0000253331,-73.9998781153,1
2740,45.0000254233,-73.9998781529,1
2750,45.0000255135,-73.9998781906,1
2760,45.0000256037,-73.9998782285,1
2770,45.0000256939,-73.9998782665,1
2780,45.000025784,-73.9998783046,1
2790,45.0000258741,-73.9998783428,1
2800,45.0000259642,-73.9998783812,1
2810,45.0000260542,-73.9998784197,1
2820,45.0000261442,-73.9998784584,1
2830,45.0000262342,-73.9998784972,1
2840,45.0000263242,-73.9998785361,1
2850,45.0000264141,-73.9998785751,1
2860,45.000026504,-73.9998786143,1
2870,45.0000265939,-73.9998786536,1
2880,45.0000266837,-73.9998786931,1
2890,45.0000267735,-73.9998787327,1
2900,45.0000268633,-73.9998787724,1
2910,45.000026953,-73.9998788122,1
2920,45.0000270428,-73.9998788522,1
2930,45.0000271325,-73.9998788923,1
2940,45.0000272221,-73.9998789326,1
2950,45.0000273118,-73.999878973,1
2960,45.0000274014,-73.9998790135,1
2970,45.0000274909,-73.9998790541,1
2980,45.0000275805,-73.9998790949,1
2990,45.00002767,-73.9998791358,1
3000,45.0000277595,-73.9998791769,1
3010,45.0000278489,-73.999879218,1
3020,45.0000279383,-73.9998792593,1
3030,45.0000280277,-73.9998793008,1
3040,45.0000281171,-73.9998793424,1
3050,45.0000282064,-73.9998793841,1
3060,45.0000282957,-73.9998794259,1
3070,45.000028385,-73.9998794679,1
3080,45.0000284742,-73.99987951,1
3090,45.0000285634,-73.9998795522,1
3100,45.0000286526,-73.9998795946,1
3110,45.0000287417,-73.9998796371,1
3120,45.0000288309,-73.9998796797,1
3130,45.0000289199,-73.9998797225,1
3140,45.000029009,-73.9998797654,1
3150,45.000029098,-73.9998798084,1
3160,45.000029187,-73.9998798516,1
3170,45.0000292759,-73.9998798949,1
3180,45.0000293649,-73.9998799383,1
3190,45.0000294537,-73.9998799818,1
3200,45.0000295426,-73.9998800255,1
3210,45.0000296314,-73.9998800693,1
3220,45.0000297202,-73.9998801133,1
3230,45.000029809,-73.9998801574,1
3240,45.0000298977,-73.9998802016,1
3250,45.0000299864,-73.9998802459,1
3260,45.000030075,-73.9998802904,1
3270,45.0000301637,-73.999880335,1
3280,45.0000302523,-73.9998803797,1
3290,45.0000303408,-73.9998804246,1
3300,45.0000304293,-73.9998804696,1
3310,45.0000305178,-73.9998805147,1
3320,45.0000306063,-73.99988056,1
3330,45.0000306947,-73.9998806054,1
3340,45.0000307831,-73.9998806509,1
3350,45.0000308715,-73.9998806966,1
3360,45.0000309598,-73.9998807423,1
3370,45.0000310481,-73.9998807883,1
3380,45.0000311363,-73.9998808343,1
3390,45.0000312246,-73.9998808805,1
3400,45.0000313128,-73.9998809268,1
3410,45.0000314009,-73.9998809732,1
3420,45.000031489,-73.9998810198,1
3430,45.0000315771,-73.9998810665,1
3440,45.0000316652,-73.9998811133,1
3450,45.0000317532,-73.9998811603,1
