"Time (UTCG)","x (km)","y (km)","z (km)","Yaw (deg)","Pitch (deg)","Roll (deg)"
31 Mar 2016 16:00:00.000,1351.252620,-4654.131209,4132.593477,120.005,0.000,0.000
31 Mar 2016 16:00:01.000,1351.254622,-4654.131364,4132.592654,120.005,-0.000,-0.000
31 Mar 2016 16:00:02.000,1351.260629,-4654.131828,4132.590183,120.005,0.000,0.000
31 Mar 2016 16:00:03.000,1351.270641,-4654.132603,4132.586065,120.005,-0.000,-0.000
31 Mar 2016 16:00:04.000,1351.284657,-4654.133687,4132.580299,120.005,0.000,0.000
31 Mar 2016 16:00:05.000,1351.302679,-4654.135082,4132.572886,120.005,0.000,0.000
31 Mar 2016 16:00:06.000,1351.324705,-4654.136786,4132.563826,120.006,-0.000,0.000
31 Mar 2016 16:00:07.000,1351.350735,-4654.138800,4132.553119,120.006,-0.000,0.000
31 Mar 2016 16:00:08.000,1351.380770,-4654.141123,4132.540764,120.006,-0.000,-0.000
31 Mar 2016 16:00:09.000,1351.414810,-4654.143756,4132.526761,120.006,0.000,0.000
31 Mar 2016 16:00:10.000,1351.452855,-4654.146699,4132.511111,120.007,-0.000,0.000
31 Mar 2016 16:00:11.000,1351.494904,-4654.149951,4132.493814,120.007,-0.000,-0.000
31 Mar 2016 16:00:12.000,1351.540965,-4654.153519,4132.474871,120.007,0.114,-0.000
31 Mar 2016 16:00:13.000,1351.591462,-4654.157772,4132.454459,120.008,0.911,-0.000
31 Mar 2016 16:00:14.000,1351.646660,-4654.163036,4132.432783,120.008,1.780,-0.000
31 Mar 2016 16:00:15.000,1351.706590,-4654.169473,4132.409997,120.008,2.721,0.000
31 Mar 2016 16:00:16.000,1351.771227,-4654.177022,4132.386051,120.009,3.000,0.000
31 Mar 2016 16:00:17.000,1351.840442,-4654.185140,4132.360444,120.009,3.000,-0.000
31 Mar 2016 16:00:18.000,1351.912359,-4654.193574,4132.333838,120.010,3.000,0.000
31 Mar 2016 16:00:19.000,1351.984296,-4654.202011,4132.307223,120.010,3.000,-0.000
31 Mar 2016 16:00:20.000,1352.056234,-4654.210446,4132.280607,120.011,3.000,0.000
31 Mar 2016 16:00:21.000,1352.128171,-4654.218881,4132.253991,120.011,3.000,0.000
31 Mar 2016 16:00:22.000,1352.200108,-4654.227315,4132.227374,120.012,3.000,0.000
31 Mar 2016 16:00:23.000,1352.272045,-4654.235749,4132.200756,120.012,3.000,0.000
31 Mar 2016 16:00:24.000,1352.343982,-4654.244182,4132.174138,120.013,3.000,-0.000
31 Mar 2016 16:00:25.000,1352.415919,-4654.252614,4132.147519,120.013,3.000,0.000
31 Mar 2016 16:00:26.000,1352.487855,-4654.261046,4132.120900,120.014,3.000,-0.000
31 Mar 2016 16:00:27.000,1352.559792,-4654.269477,4132.094280,120.014,3.000,-0.000
31 Mar 2016 16:00:28.000,1352.631729,-4654.277907,4132.067659,120.015,3.000,0.000
31 Mar 2016 16:00:29.000,1352.703665,-4654.286336,4132.041037,120.015,3.000,-0.000
31 Mar 2016 16:00:30.000,1352.775601,-4654.294765,4132.014415,120.016,3.000,0.000
31 Mar 2016 16:00:31.000,1352.847537,-4654.303193,4131.987793,120.017,3.000,0.000
31 Mar 2016 16:00:32.000,1352.919474,-4654.311621,4131.961169,120.017,3.000,0.000
31 Mar 2016 16:00:33.000,1352.991409,-4654.320048,4131.934545,120.018,3.000,-0.000
31 Mar 2016 16:00:34.000,1353.063345,-4654.328474,4131.907921,120.018,3.000,0.000
31 Mar 2016 16:00:35.000,1353.135281,-4654.336899,4131.881295,120.019,3.000,0.000
31 Mar 2016 16:00:36.000,1353.207217,-4654.345324,4131.854669,120.019,3.000,0.000
31 Mar 2016 16:00:37.000,1353.279152,-4654.353748,4131.828043,120.020,3.000,-0.000
31 Mar 2016 16:00:38.000,1353.351088,-4654.362172,4131.801415,120.020,3.000,0.000
31 Mar 2016 16:00:39.000,1353.423023,-4654.370595,4131.774788,120.021,3.000,-0.000
31 Mar 2016 16:00:40.000,1353.494958,-4654.379017,4131.748159,120.021,3.000,-0.000
31 Mar 2016 16:00:41.000,1353.566893,-4654.387438,4131.721530,120.022,3.000,0.000
31 Mar 2016 16:00:42.000,1353.638828,-4654.395859,4131.694900,120.022,3.000,0.000
31 Mar 2016 16:00:43.000,1353.710763,-4654.404279,4131.668270,120.023,3.000,0.000
31 Mar 2016 16:00:44.000,1353.782698,-4654.412698,4131.641639,120.023,3.000,0.000
31 Mar 2016 16:00:45.000,1353.854633,-4654.421117,4131.615007,120.024,3.000,0.000
31 Mar 2016 16:00:46.000,1353.926567,-4654.429535,4131.588375,120.024,3.000,-0.000
31 Mar 2016 16:00:47.000,1353.998502,-4654.437953,4131.561742,120.025,3.000,-0.000
31 Mar 2016 16:00:48.000,1354.070436,-4654.446369,4131.535108,120.025,3.000,-0.000
31 Mar 2016 16:00:49.000,1354.142371,-4654.454785,4131.508474,120.026,3.000,-0.000
31 Mar 2016 16:00:50.000,1354.214305,-4654.463201,4131.481839,120.026,3.000,-0.000
31 Mar 2016 16:00:51.000,1354.286239,-4654.471615,4131.455203,120.027,3.000,0.000
31 Mar 2016 16:00:52.000,1354.358215,-4654.480139,4131.428474,120.900,3.164,17.941
31 Mar 2016 16:00:53.000,1354.431421,-4654.492322,4131.398652,125.258,3.975,30.159
31 Mar 2016 16:00:54.000,1354.505837,-4654.510377,4131.364118,129.830,4.827,32.284
31 Mar 2016 16:00:55.000,1354.580595,-4654.534966,4131.324686,134.614,5.720,34.349
31 Mar 2016 16:00:56.000,1354.654461,-4654.566534,4131.280329,139.595,6.299,39.608
31 Mar 2016 16:00:57.000,1354.724075,-4654.603534,4131.231848,144.616,6.299,39.608
31 Mar 2016 16:00:58.000,1354.788229,-4654.645287,4131.179825,149.638,6.299,39.608
31 Mar 2016 16:00:59.000,1354.846850,-4654.691255,4131.124884,152.860,6.299,32.441
31 Mar 2016 16:01:00.000,1354.904210,-4654.738121,4131.069347,152.860,6.299,12.441
31 Mar 2016 16:01:01.000,1354.961569,-4654.784986,4131.013809,152.861,6.299,0.000
31 Mar 2016 16:01:02.000,1355.018928,-4654.831851,4130.958269,152.861,6.299,-0.000
31 Mar 2016 16:01:03.000,1355.076288,-4654.878715,4130.902729,152.861,6.299,-0.000
31 Mar 2016 16:01:04.000,1355.133647,-4654.925578,4130.847187,152.862,6.299,-0.000
31 Mar 2016 16:01:05.000,1355.191005,-4654.972440,4130.791644,152.862,6.299,-0.000
31 Mar 2016 16:01:06.000,1355.248364,-4655.019301,4130.736101,152.862,6.299,0.000
31 Mar 2016 16:01:07.000,1355.305723,-4655.066161,4130.680556,152.863,6.299,0.000
31 Mar 2016 16:01:08.000,1355.363082,-4655.113021,4130.625010,152.863,6.299,0.000
31 Mar 2016 16:01:09.000,1355.420440,-4655.159880,4130.569463,152.863,6.299,-0.000
31 Mar 2016 16:01:10.000,1355.477798,-4655.206738,4130.513915,152.864,6.299,0.000
31 Mar 2016 16:01:11.000,1355.535157,-4655.253595,4130.458366,152.864,6.299,-0.000
31 Mar 2016 16:01:12.000,1355.592515,-4655.300451,4130.402816,152.864,6.299,-0.000
31 Mar 2016 16:01:13.000,1355.649873,-4655.347306,4130.347265,152.865,6.299,0.000
31 Mar 2016 16:01:14.000,1355.707231,-4655.394161,4130.291713,152.865,6.299,0.000
31 Mar 2016 16:01:15.000,1355.764589,-4655.441014,4130.236159,152.865,6.299,-0.000
31 Mar 2016 16:01:16.000,1355.821947,-4655.487867,4130.180605,152.866,6.299,-0.000
31 Mar 2016 16:01:17.000,1355.879304,-4655.534719,4130.125049,152.866,6.299,0.000
31 Mar 2016 16:01:18.000,1355.936662,-4655.581570,4130.069493,152.866,6.299,-0.000
31 Mar 2016 16:01:19.000,1355.994019,-4655.628420,4130.013935,152.866,6.299,-0.000
31 Mar 2016 16:01:20.000,1356.051377,-4655.675270,4129.958377,152.867,6.299,0.000
31 Mar 2016 16:01:21.000,1356.108734,-4655.722118,4129.902817,152.867,6.299,-0.000
31 Mar 2016 16:01:22.000,1356.166091,-4655.768966,4129.847256,152.867,6.299,0.000
31 Mar 2016 16:01:23.000,1356.223448,-4655.815813,4129.791694,152.868,6.299,-0.000
31 Mar 2016 16:01:24.000,1356.280805,-4655.862659,4129.736131,152.868,6.299,0.000
31 Mar 2016 16:01:25.000,1356.338162,-4655.909504,4129.680567,152.868,6.299,-0.000
31 Mar 2016 16:01:26.000,1356.395519,-4655.956349,4129.625002,152.869,6.299,-0.000
31 Mar 2016 16:01:27.000,1356.452875,-4656.003192,4129.569436,152.869,6.299,-0.000
31 Mar 2016 16:01:28.000,1356.510232,-4656.050035,4129.513869,152.869,6.299,0.000
31 Mar 2016 16:01:29.000,1356.567588,-4656.096877,4129.458301,152.870,6.299,-0.000
31 Mar 2016 16:01:30.000,1356.624945,-4656.143718,4129.402731,152.870,6.299,-0.000
31 Mar 2016 16:01:31.000,1356.682301,-4656.190558,4129.347161,152.870,6.299,0.000
31 Mar 2016 16:01:32.000,1356.739657,-4656.237397,4129.291589,152.871,6.299,0.000
31 Mar 2016 16:01:33.000,1356.797013,-4656.284235,4129.236017,152.871,6.299,0.000
31 Mar 2016 16:01:34.000,1356.854369,-4656.331073,4129.180443,152.871,6.299,-0.000
31 Mar 2016 16:01:35.000,1356.911725,-4656.377910,4129.124869,152.872,6.299,-0.000
31 Mar 2016 16:01:36.000,1356.969081,-4656.424746,4129.069293,152.872,6.299,0.000
31 Mar 2016 16:01:37.000,1357.026436,-4656.471581,4129.013716,152.872,6.299,-0.000
31 Mar 2016 16:01:38.000,1357.083792,-4656.518415,4128.958138,152.873,6.299,0.000
31 Mar 2016 16:01:39.000,1357.141147,-4656.565248,4128.902559,152.873,6.299,-0.000
31 Mar 2016 16:01:40.000,1357.198502,-4656.612081,4128.846979,152.873,6.299,0.000
31 Mar 2016 16:01:41.000,1357.255858,-4656.658913,4128.791398,152.874,6.299,0.000
31 Mar 2016 16:01:42.000,1357.313213,-4656.705743,4128.735816,152.874,6.299,-0.000
31 Mar 2016 16:01:43.000,1357.370568,-4656.752573,4128.680233,152.874,6.299,-0.000
31 Mar 2016 16:01:44.000,1357.427922,-4656.799402,4128.624648,152.875,6.299,-0.000
31 Mar 2016 16:01:45.000,1357.485277,-4656.846230,4128.569063,152.875,6.299,-0.000
31 Mar 2016 16:01:46.000,1357.542632,-4656.893057,4128.513476,152.875,6.299,-0.000
31 Mar 2016 16:01:47.000,1357.599986,-4656.939884,4128.457888,152.875,6.299,-0.000
31 Mar 2016 16:01:48.000,1357.657341,-4656.986709,4128.402300,152.876,6.299,-0.000
31 Mar 2016 16:01:49.000,1357.714695,-4657.033534,4128.346710,152.876,6.299,-0.000
31 Mar 2016 16:01:50.000,1357.772049,-4657.080358,4128.291119,152.876,6.299,-0.000
31 Mar 2016 16:01:51.000,1357.829403,-4657.127181,4128.235527,152.877,6.299,-0.000
31 Mar 2016 16:01:52.000,1357.886757,-4657.174003,4128.179934,152.877,6.299,-0.000
31 Mar 2016 16:01:53.000,1357.944111,-4657.220825,4128.124340,152.877,6.299,-0.000
31 Mar 2016 16:01:54.000,1358.001465,-4657.267645,4128.068745,152.878,6.299,0.000
31 Mar 2016 16:01:55.000,1358.058819,-4657.314465,4128.013148,152.878,6.299,0.000
31 Mar 2016 16:01:56.000,1358.116172,-4657.361284,4127.957551,152.878,6.299,-0.000
31 Mar 2016 16:01:57.000,1358.173526,-4657.408102,4127.901953,152.879,6.299,-0.000
31 Mar 2016 16:01:58.000,1358.230879,-4657.454919,4127.846353,152.879,6.299,-0.000
31 Mar 2016 16:01:59.000,1358.288232,-4657.501735,4127.790753,152.879,6.299,-0.000
31 Mar 2016 16:02:00.000,1358.345586,-4657.548550,4127.735151,152.880,6.299,0.000
31 Mar 2016 16:02:01.000,1358.402939,-4657.595365,4127.679549,152.880,6.299,0.000
31 Mar 2016 16:02:02.000,1358.460292,-4657.642179,4127.623945,152.880,6.299,-0.000
31 Mar 2016 16:02:03.000,1358.517644,-4657.688992,4127.568340,152.881,6.299,0.000
31 Mar 2016 16:02:04.000,1358.574997,-4657.735804,4127.512735,152.881,6.299,-0.000
31 Mar 2016 16:02:05.000,1358.632350,-4657.782615,4127.457128,152.881,6.299,-0.000
31 Mar 2016 16:02:06.000,1358.689702,-4657.829425,4127.401520,152.882,6.299,-0.000
31 Mar 2016 16:02:07.000,1358.747055,-4657.876235,4127.345911,152.882,6.299,-0.000
31 Mar 2016 16:02:08.000,1358.804407,-4657.923044,4127.290301,152.882,6.299,0.000
31 Mar 2016 16:02:09.000,1358.861759,-4657.969851,4127.234690,152.883,6.299,-0.000
31 Mar 2016 16:02:10.000,1358.919112,-4658.016658,4127.179077,152.883,6.299,0.000
31 Mar 2016 16:02:11.000,1358.976464,-4658.063465,4127.123464,152.883,6.299,-0.000
31 Mar 2016 16:02:12.000,1359.033816,-4658.110270,4127.067850,152.884,6.299,-0.000
